Phrase	Grammar	Transcription	Translation	Notes
εἰµί	V		jestem; istnieję	2462
λέγω	V		mówię	2353
ἔχω	V		mam	708
γίνοµαι	V		staję się; rodzę się; jestem stworzony	669
ἔρχοµαι	V		przychodzę; idę	632
ποιέω	V		robię; pracuję	568
ὁράω	V		widzę; dostrzegam	454
ἀκούω	V		słucham	428
δίδωµι	V		daję	415
οἶδα	V		wiem	318
λαλέω	V		mówię	296
λαµβάνω	V		biorę; otrzymuję; wybieram	258
πιστεύω	V		wierzę; ufam	241
ἀποκρίνοµαι	V		odpowiadam	231
γινώσκω	V		wiem; poznaję	222
ἐξέρχοµαι	V		wychodzę	218
δύναµαι	V		mogę; jestem w stanie	210
θέλω	V		chcę	208
εἰσέρχοµαι	V		wchodzę	194
γράφω	V		piszę	191
εὑρίσκω	V		znajduję	176
ἐσθίω	V		jem	158
ἵστηµι	V		stawiam	154
πορεύοµαι	V		idę	153
καλέω	V		wołam	148
ἐγείρω	V		podnoszę	144
ἀγαπάω	V		kocham	143
ἀφίηµι	V		odpuszczam	143
ζάω	V		żyję	140
ἀποστέλω	V		posyłam	132
βλέπω	V		widzę	132
βάλω	V		rzucam	122
παραδίδωµι	V		dostarczam; wydaję	119
µένω	V		pozostaję	118
ἀπέρχοµαι	V		odchodzę	117
ζητέω	V		poszukuję	117
κρίνω	V		osądzam	114
ἀποθνῄσκω	V		umieram	111
µέλω	V		zabieram się za	109
παρακαλέω	V		namawiam	109
ἀνίστηµι	V		podnoszę; powstaję	108
σῴζω	V		wybawiam	106
αἴρω	V		podnoszę	101
δεῖ	V		trzeba; należy	101
τίθηµι	V		wyznaczam	100
